from_node,to_node,arc_type,distance_km,unit_transport_cost
N1,N4,source_dc,1364.590015058159,20.468850225872384
N1,N5,source_dc,1128.2636558355653,16.92395483753348
N1,N8,source_dc,1320.745845351196,19.811187680267942
N1,N13,source_dc,409.5993736584713,6.143990604877069
N1,N14,source_dc,1489.8620255264682,22.347930382897022
N6,N4,source_dc,1546.4705866468294,23.19705879970244
N6,N5,source_dc,1158.0982472380279,17.371473708570417
N6,N8,source_dc,1458.8636949863558,21.882955424795334
N6,N13,source_dc,590.6764234100649,8.860146351150973
N6,N14,source_dc,1493.971789253224,22.40957683879836
N9,N4,source_dc,686.9441510497082,10.304162265745623
N9,N5,source_dc,482.9414144239103,7.244121216358654
N9,N8,source_dc,612.8241561335816,9.192362342003724
N9,N13,source_dc,302.5093686854871,4.537640530282307
N9,N14,source_dc,839.0708450391418,12.586062675587126
N12,N4,source_dc,1571.0542368881092,23.56581355332164
N12,N5,source_dc,1406.1982624344676,21.092973936517012
N12,N8,source_dc,1554.174168625068,23.31261252937602
N12,N13,source_dc,671.1569744859828,10.067354617289741
N12,N14,source_dc,1769.7961148449854,26.54694172267478
N4,N2,dc_market,857.6217678997027,12.86432651849554
N4,N3,dc_market,330.33391953583003,4.95500879303745
N4,N7,dc_market,124.18064067776864,1.8627096101665295
N4,N10,dc_market,394.88751044680055,5.923312656702008
N4,N11,dc_market,491.1825666215364,7.367738499323046
N5,N2,dc_market,682.8078331410073,10.24211749711511
N5,N3,dc_market,975.8830237545526,14.638245356318288
N5,N7,dc_market,670.5360180579193,10.058040270868789
N5,N10,dc_market,359.2865276606259,5.389297914909388
N5,N11,dc_market,428.2257513345161,6.423386270017741
N8,N2,dc_market,810.1846485438735,12.152769728158102
N8,N3,dc_market,528.1118947857315,7.9216784217859715
N8,N7,dc_market,276.0221282718,4.140331924077
N8,N10,dc_market,201.72083750802392,3.0258125626203585
N8,N11,dc_market,317.122134696437,4.756832020446555
N13,N2,dc_market,120.78906423938459,1.8118359635907688
N13,N3,dc_market,1197.0705635652873,17.956058453479308
N13,N7,dc_market,891.510284286676,13.37265426430014
N13,N10,dc_market,976.1291014105742,14.641936521158613
N13,N11,dc_market,1096.163937815356,16.442459067230338
N14,N2,dc_market,1044.0510525618738,15.660765788428106
N14,N3,dc_market,1054.344236622626,15.815163549339392
N14,N7,dc_market,823.3865444367785,12.350798166551678
N14,N10,dc_market,350.5939050243181,5.258908575364771
N14,N11,dc_market,285.16386354316353,4.277457953147453
