roc_auc,average_precision,brier,log_loss,ece_10bin,f1_at_0p5,f1_best,best_threshold,model,probability
0.5303109217171718,0.026008465008044816,0.02399976343528431,0.11496893702054328,0.0003641125644407994,0.0,0.05673431734317343,0.027237354085603113,Coastal/Inland,OOF_raw
0.5303109217171718,0.026008465008044816,0.02399976343528431,0.11496893702054328,0.0003641125644407994,0.0,0.05673431734317343,0.027237354085603113,Coastal/Inland,OOF_calibrated
0.9883167613636363,0.6610128260515693,0.0572791457104917,0.16764901195080742,0.09015365899568052,0.36076662908680945,0.6297376093294461,0.8962712290010463,Basic Logistic,OOF_raw
0.987918244949495,0.6407260030922115,0.013078047932697507,0.0413338951627244,0.004971595580675718,0.6,0.6199460916442048,0.3050615823940341,Basic Logistic,OOF_calibrated
0.9903764204545454,0.693995151932575,0.036151898552294996,0.11782013742309146,0.05041912154839835,0.49843260188087773,0.6551724137931034,0.9298061910982435,Engineered Logistic,OOF_raw
0.990228456439394,0.6874896104040036,0.011969431807393752,0.03927693474118724,0.003954830667677394,0.624561403508772,0.6646341463414634,0.39276596254808516,Engineered Logistic,OOF_calibrated
0.9947364267676767,0.8109716104292841,0.010007191117430335,0.03349248968126359,0.01010767190401782,0.7219251336898396,0.7476038338658146,0.6582837638217718,Random Forest rerun,OOF_raw
0.994695983270202,0.7986912043529173,0.00943268930865257,0.028636339166072555,0.0042247492775254305,0.7251461988304093,0.7530864197530863,0.570327907206747,Random Forest rerun,OOF_calibrated
0.993783538510101,0.7635605837484355,0.010797452489248427,0.035769045768377805,0.010063056449469312,0.7074468085106383,0.7378048780487805,0.6264865155598351,Random Forest final 01,OOF_raw
0.9933278093434345,0.739691812496808,0.011163599232794252,0.033712910904567045,0.005931940327634137,0.6837606837606838,0.6981627296587927,0.3510187068544449,Random Forest final 01,OOF_calibrated
