risk_method,point_id,cvar_limit,status,total_cost,fixed_cost,hardening_cost,expected_transport_cost,expected_unmet_penalty,expected_disruption_penalty,realized_expected_unmet_demand,realized_cvar_unmet_demand,realized_eta_cvar,open_dcs,hardened_dcs,total_cost_round,realized_cvar_round,is_dominated
Fixed,1,0.0,Optimal,36927.66731603204,5200.0,0.0,31489.809513631277,0.0,237.85780240073873,0.0,0.0,0.0,"N4,N5,N13",,36927.6673,0.0,False
Historical,1,0.0,Optimal,36983.20777679739,5200.0,0.0,31543.20777679738,0.0,239.99999999999991,0.0,0.0,0.0,"N4,N5,N13",,36983.2078,0.0,False
Rule-based,1,104.43037974683519,Optimal,40316.29335930003,5200.0,1895.0,31493.318675755738,1566.4556962025272,161.51898734177192,10.443037974683516,104.43037974683519,0.0,"N4,N5,N13","N4,N13",40316.2934,104.4304,False
ML Dynamic,1,137.07620860976942,Optimal,40345.99754505909,5200.0,1195.0,31599.50781306111,2056.1431291465406,295.3466028514113,13.70762086097694,137.07620860976942,0.0,"N4,N5,N13",N5,40345.9975,137.0762,False
ML Dynamic,2,124.61473509979038,Optimal,40445.320360772996,5200.0,2255.0,31762.56025419631,976.6241986657811,251.13590791090465,6.510827991105208,65.1082799110521,0.0,"N4,N5,N13","N4,N5",40445.3204,65.1083,False
ML Dynamic,7,62.30736754989519,Optimal,40594.02013839533,5200.0,3090.0,31509.02560518376,616.2478328346816,178.746700376899,4.108318885564543,41.08318885564544,0.0,"N4,N5,N13","N4,N5,N13",40594.0201,41.0832,False
ML Dynamic,9,37.38442052993712,Optimal,41458.09360450993,6800.0,2165.0,31890.456574746957,266.2237629256796,336.41326683727993,1.7748250861711972,17.748250861711973,0.0,"N4,N5,N8,N13","N5,N8",41458.0936,17.7483,False
ML Dynamic,11,12.461473509979044,Optimal,41482.14502978948,6900.0,2255.0,31971.166309095388,41.43099656290477,314.54772413116984,0.27620664375269843,2.7620664375269848,0.0,"N4,N5,N13,N14","N4,N5",41482.145,2.7621,False
ML Dynamic,12,0.0,Optimal,42232.83003395235,6800.0,3225.0,31915.627462055552,0.0,292.2025718967733,0.0,0.0,0.0,"N4,N5,N8,N13","N4,N5,N8",42232.83,0.0,False
Coastal/Inland,1,0.0,Optimal,36868.02613380622,5200.0,0.0,31510.920190653764,0.0,157.1059431524544,0.0,0.0,0.0,"N4,N5,N13",,36868.0261,0.0,False
Engineered Logistic,1,151.76793720284238,Optimal,39819.64941190002,5200.0,835.0,31267.880659879942,2276.5190580426356,240.24969397740756,15.176793720284236,151.76793720284238,0.0,"N4,N5,N13",N13,39819.6494,151.7679,False
Engineered Logistic,2,137.97085200258397,Optimal,39964.35250771646,5200.0,1895.0,31417.917575928932,1252.381770555693,199.05316123175245,8.34921180370462,83.49211803704621,0.0,"N4,N5,N13","N4,N13",39964.3525,83.4921,False
Engineered Logistic,6,82.78251120155039,Optimal,40270.07008818367,6800.0,1060.0,31834.47701621458,252.89715211908737,322.69591984993184,1.685981014127249,16.859810141272494,0.0,"N4,N5,N8,N13",N4,40270.0701,16.8598,False
Engineered Logistic,11,13.797085200258408,Optimal,41051.58599676932,6800.0,2030.0,31864.363864510044,64.27026157733428,292.95187068185015,0.42846841051556184,4.284684105155619,0.0,"N4,N5,N8,N13","N4,N8",41051.586,4.2847,False
Engineered Logistic,12,0.0,Optimal,41238.87959934657,6900.0,2075.0,31963.82934117279,0.0,300.05025817367965,0.0,0.0,0.0,"N4,N5,N13,N14","N4,N14",41238.8796,0.0,False
